"elev" "smi" "dbh" "tht" "cr" "ba" "dg" "hg"
"104" 3493 4.8 5.6 21.2 7 44.3 1.5 7.4
"105" 3493 4.8 2.1 12.5 4 36.1 1.1 3.1
"106" 3493 4.8 4.6 19.4 5 36.1 1.9 6.5
"107" 3493 4.8 2 10.5 4 36.1 1.1 3.4
"108" 3493 4.8 5.5 17.4 6 36.1 1.4 5.3
"109" 3493 4.8 3.7 15.2 6 36.1 0.9 4.2
"110" 3493 4.8 5.4 18.7 7 36.1 1.1 2.1
"111" 3493 4.8 3.7 18.5 8 36.1 1.4 6.7
"112" 3493 4.8 4.8 20.9 7 36.1 1.8 6.9
"113" 3493 4.8 4.2 20.9 6 36.1 1.2 5.6
"114" 3493 4.8 4.3 20.4 5 36.1 1.2 5.1
"115" 3493 4.8 4.2 20.9 6 36.1 1.3 6.5
"116" 3493 4.8 5.5 25.3 5 36.1 1.2 7
"117" 3493 4.8 4.2 20.6 4 36.1 0.4 5.6
"118" 3493 4.8 6.5 26.7 5 36.1 1.9 7.8
"119" 3493 4.8 6 25 6 36.1 1.5 6.7
"120" 3493 4.8 6.4 28.7 5 36.1 1.2 5.7
"121" 3493 4.8 5.7 26.5 6 36.1 1.4 6.5
"122" 3493 4.8 4.8 20.9 5 36.1 1.2 5.1
"123" 3493 4.8 6.2 23.6 7 36.1 1.5 7.4
"124" 3493 4.8 6.9 28.7 7 36.1 1.3 7.3
"125" 3493 4.8 7.5 27.9 7 36.1 1.9 6.9
"126" 3493 4.8 6.8 29.9 6 36.1 1.7 7
"127" 3493 4.8 5.4 21.8 7 36.1 1.6 7.4
"128" 3493 4.8 3.3 13.6 7 36.1 1.2 6.5
"129" 3493 4.8 5.8 23 6 36.1 1.6 7.1
"130" 3493 4.8 4.8 19.3 6 36.1 1.3 6
"131" 3493 4.8 4.8 18.6 7 36.1 1.7 6.1
"132" 3493 4.8 4.9 18.7 6 36.1 1.5 4.4
"133" 4330 3.2 1.4 12.2 3 140.9 0.2 3
"134" 4330 3.2 1.4 11.5 3 140.9 0.2 2.3
"135" 4330 3.2 1.9 15.2 3 140.9 0.3 5.2
"136" 4330 3.2 1.1 8.9 3 140.9 0.2 1.4
"137" 4330 3.2 2.3 13.7 5 140.9 0.6 6.2
"138" 4330 3.2 0.5 5.9 3 140.9 0.3 1.8
"139" 4330 3.2 1.1 11.8 2 140.9 0.1 3.1
"140" 4330 3.2 1 11 2 140.9 0.1 1.4
"141" 4330 3.2 2.1 13.1 4 140.9 0.3 3.8
"142" 4330 3.2 2.6 16.8 3 140.9 0.6 5.8
"143" 4330 3.2 2 14.7 3 140.9 0.5 4.8
"144" 4330 3.2 0.4 5.3 2 140.9 0.4 2.1
"145" 4330 3.2 3.2 14.3 7 140.9 0.7 4.2
"146" 4330 3.2 2.2 14.4 4 52.3 0.5 4.8
"147" 4330 3.2 3.1 17.2 3 52.3 0.4 4.3
"148" 4330 3.2 2.3 16 3 52.3 0.7 5.7
"149" 4330 3.2 2.8 16.1 6 52.3 1.6 9.1
"150" 4330 3.2 2.7 14.8 5 52.3 0.7 2.7
"151" 4330 3.2 2.1 15 4 52.3 1 4.1
"152" 4330 3.2 2.4 15 5 52.3 1 4.7
"153" 4330 3.2 2.9 15.2 6 52.3 1.6 7.3
"154" 4330 3.2 1.2 8.5 3 52.3 0.5 2.9
"155" 4330 3.2 2 13.8 2 52.3 0.1 2.5
"156" 4330 3.2 3.8 19.3 5 52.3 0.8 6.5
"157" 4330 3.2 4.5 19.8 6 52.3 1.3 6.2
"158" 4330 3.2 6.2 23.4 7 52.3 1.3 8.6
"159" 4330 3.2 3.2 13.9 6 52.3 1.1 5.4
"160" 4330 3.2 2.3 13.2 5 52.3 0.9 6.4
"161" 4330 3.2 1 9.4 3 52.3 0.1 1.2
"162" 4330 3.2 10.5 38.2 7 52.3 1.9 6.8
"163" 4330 3.2 2.4 14.6 3 52.3 0.4 3.6
"164" 4330 3.2 2.1 12.2 4 52.3 0.8 6
"165" 4330 3.2 3.4 18 6 52.3 1.1 7.9
"166" 4330 3.2 2 15.4 3 52.3 0.4 6.1
"167" 4330 3.2 1.7 11.4 4 52.3 0.3 3.3
"168" 4330 3.2 2.4 12.5 5 52.3 1.1 5.6
"169" 4330 3.2 4.2 18.3 8 37.5 1.8 6
"170" 4330 3.2 1.3 8 6 37.5 1.1 3.8
"171" 4330 3.2 2.7 13.2 6 37.5 1.3 7.1
"172" 4330 3.2 2.6 15 5 37.5 1.1 4.3
"173" 4330 3.2 2.6 12.4 5 37.5 1.2 5.7
"174" 4330 3.2 3.3 18.9 4 37.5 1.8 6.8
"175" 4330 3.2 2.3 13.4 5 37.5 1.2 3.8
"176" 4330 3.2 3.8 18.9 5 37.5 1.5 7.4
"177" 4330 3.2 2.2 10.8 6 37.5 1 4
"178" 4330 3.2 2.8 12.8 6 37.5 1 5.2
"179" 4330 3.2 2.6 12.9 5 37.5 1.8 3.9
"180" 4330 3.2 2.3 10.3 6 37.5 1.2 4.3
"181" 4330 3.2 1.4 9.9 3 37.5 0.9 1.2
"182" 4330 3.2 1.7 9.7 2 37.5 1.2 3.7
"183" 4330 3.2 1.9 11.7 2 37.5 1.4 3.2
"184" 4330 3.2 1.4 10.3 3 37.5 1 1.3
"185" 4330 3.2 2.6 13.3 7 37.5 1.5 4.8
"186" 4330 3.2 3.2 16.5 7 37.5 1.9 5.5
"187" 4330 3.2 3 13.4 6 37.5 1.4 4
"188" 4330 3.2 4.7 20.4 7 37.5 1.3 6.6
"189" 4330 3.2 5 24.6 6 37.5 1.7 6.4
"190" 4330 3.2 3.2 16.8 5 37.5 1.3 6.8
"191" 4330 3.2 4.2 24.7 5 37.5 2 8.6
"192" 4330 3.2 3.4 23.1 6 37.5 1.3 8.4
"193" 4330 3.2 3 16.9 5 37.5 1.1 6.6
"194" 4330 3.2 4.7 21.7 6 37.5 1.7 7.7
"195" 4330 3.2 2.6 12.2 4 37.5 1.4 6.7
"196" 4330 3.2 5.1 19.3 7 37.5 2 8
"197" 4330 3.2 2.5 15.9 5 25.1 1.5 5.4
"198" 4330 3.2 2.8 14.1 5 25.1 1.9 6.7
"199" 4330 3.2 4.5 20 6 25.1 2.2 9.7
"200" 4330 3.2 4.7 19.5 6 25.1 2.2 9.1
"201" 4330 3.2 3.4 16.2 4 25.1 1.5 8.1
"202" 4330 3.2 1.3 8.2 6 25.1 0.8 2.1
"203" 4330 3.2 4.4 17.4 6 25.1 1.7 7.7
"204" 4330 3.2 3.8 16.8 6 25.1 1.9 6.1
"205" 4330 3.2 3.7 19.3 7 25.1 1.6 8
"206" 4330 3.2 4 20.3 5 25.1 2.1 7.1
"207" 4330 3.2 4.3 18.6 6 25.1 1.4 6.9
"208" 4330 3.2 3.4 15.5 5 25.1 0.7 2.6
"209" 4330 3.2 0.5 6.2 3 25.1 0.7 3
"210" 4330 3.2 2.9 13.1 6 25.1 1.3 6.2
"211" 4330 3.2 5.2 25 6 25.1 1.4 6.8
"212" 4330 3.2 3.5 17.3 4 25.1 0.8 3.4
"213" 4330 3.2 3.6 19.7 4 25.1 2.3 7.1
"214" 4330 3.2 3.8 23.9 4 25.1 1.4 8.5
"215" 4330 3.2 4.8 19.5 5 25.1 1.5 7.4
"216" 4330 3.2 2.8 14.6 3 25.1 1.2 6
"217" 4330 3.2 2.8 15.9 6 25.1 1.5 6.8
"218" 4330 3.2 1.1 9 4 25.1 0.6 3.8
"219" 4330 3.2 3.6 17.7 6 25.1 2.7 8.2
"220" 4330 3.2 3.4 18.3 4 25.1 1.9 6.9
"221" 4330 3.2 3.3 18.9 6 25.1 1.8 8.4
"222" 4330 3.2 4 21.9 5 16.2 1.9 7.5
"223" 4330 3.2 2.7 12.4 6 16.2 2.1 5.2
"224" 4330 3.2 4.9 17.7 5 16.2 1.8 5.4
"225" 4330 3.2 7.9 23.5 7 16.2 2.4 6
"226" 4330 3.2 4.4 18.2 6 16.2 2 6
"227" 4330 3.2 3.6 17.5 6 16.2 1.6 5.2
"228" 4330 3.2 2.6 14.7 5 16.2 1.8 4
"229" 4330 3.2 6 23.9 6 16.2 3 8.4
"230" 4330 3.2 2.1 12.9 3 16.2 1.2 3
"231" 4330 3.2 2.5 14.8 3 16.2 1.6 2.5
"232" 4330 3.2 4.3 20.9 6 16.2 2.1 6.4
"233" 4330 3.2 6.9 24.7 7 16.2 2.3 8.7
"234" 4330 3.2 5.4 20.8 7 16.2 1.8 5.2
"235" 4330 3.2 4.6 17.4 7 16.2 2.1 6.4
"236" 4330 3.2 7.4 26.9 7 16.2 2.2 7.7
"237" 4330 3.2 3.3 13 7 16.2 2 5.5
"238" 4330 3.2 2.8 12.2 7 16.2 2.1 5.8
"239" 4330 3.2 4.8 19.1 7 16.2 2.3 6.3
"240" 4330 3.2 4.9 20.2 7 16.2 2.6 5.5
"241" 4330 3.2 2.5 15.4 3 16.2 2.2 3.5
"242" 4330 3.2 3.2 14.7 5 16.2 1.7 4.9
"243" 4330 3.2 3.1 15.3 4 16.2 1.4 5.1
"244" 4330 3.2 2.3 15.8 3 16.2 1.5 3.6
"245" 4330 3.2 2.5 13.1 6 16.2 1.2 5.6
"246" 4330 3.2 3.8 17 6 16.2 1.6 4.7
"247" 4330 3.2 3.8 14.6 6 16.2 2 4.8
"248" 4330 3.2 5.1 22.6 7 16.2 1.6 5.5
"249" 4330 3.2 4.2 21.7 6 16.2 2.2 7.1
"250" 1704 13.2 3.1 13.4 8 50.6 0.9 4.5
"251" 1704 13.2 5.6 20.5 8 50.6 0.4 5.4
"252" 1704 13.2 2.2 15.7 5 50.6 0.5 4.7
"253" 1704 13.2 1.4 9.4 4 50.6 0.3 4
"254" 1704 13.2 4.5 17.9 7 50.6 0.6 2.6
"255" 1704 13.2 2.7 12.4 7 50.6 1 4.2
"256" 1704 13.2 2.5 11.8 8 50.6 0.9 3.6
"257" 1704 13.2 1 6.7 8 50.6 0.6 3.8
"258" 1704 13.2 1.9 10.5 8 50.6 0.5 3.3
"259" 1704 13.2 3.2 13.6 8 50.6 1.1 4.7
"260" 1704 13.2 3.2 14.4 7 50.6 0.8 3.4
"261" 1704 13.2 2.2 10.6 7 50.6 0.9 3.8
"262" 1704 13.2 1.8 11.2 4 50.6 0.4 4.2
"263" 1704 13.2 4.2 18.6 8 50.6 0.6 3.9
"264" 1704 13.2 4.3 17.8 7 50.6 0.5 4.8
"265" 1704 13.2 2.2 12.1 6 50.6 0.6 3.2
"266" 1704 13.2 2.7 11.5 8 50.6 0.8 3.8
"267" 1704 13.2 2.2 12.7 7 50.6 0.7 4.2
"268" 1704 13.2 1.8 9.7 6 50.6 0.6 5
"269" 1704 13.2 1.5 9.3 5 50.6 0.5 4.3
"270" 1704 13.2 4.8 19.4 8 50.6 1 4.7
"271" 1704 13.2 2.7 14.4 5 50.6 0.4 3.7
"272" 1704 13.2 2 11 6 50.6 0.8 4
"273" 1704 13.2 3 12 7 50.6 0.8 4.4
"274" 1704 13.2 2.5 13 8 50.6 0.8 4
"275" 1704 13.2 2.7 13.2 7 50.6 0.6 4.2
"276" 1704 13.2 2.7 11.6 7 50.6 0.8 4.5
"277" 1704 13.2 2.8 13.7 6 50.6 0.5 4.5
"278" 1704 13.2 4 15.7 6 50.6 0.8 3.1
"279" 1704 13.2 2.6 12.5 6 50.6 0.8 4.4
"280" 1704 13.2 3.1 13.7 8 36 1.2 6.7
"281" 1704 13.2 2.9 14.8 8 36 0.9 3.5
"282" 1704 13.2 0.5 6 5 36 0.5 2.9
"283" 1704 13.2 3 12.1 7 36 0.8 4.4
"284" 1704 13.2 2.5 12.4 8 36 0.8 5.4
"285" 1704 13.2 3 12.2 7 36 0.9 3.8
"286" 1704 13.2 2.2 11.7 7 36 0.4 2.3
"287" 1704 13.2 1.6 10.8 6 36 0.7 3.9
"288" 1704 13.2 1.6 9.8 6 36 0.6 2.4
"289" 1704 13.2 2.6 13 7 36 1 3.4
"290" 1704 13.2 0.8 6.9 5 36 0.4 3.2
"291" 1704 13.2 2.3 11.7 6 36 0.7 2.4
"292" 1704 13.2 1 8.2 4 36 0.6 2.3
"293" 1704 13.2 1.6 10 7 36 1.1 5
"294" 1704 13.2 1.5 11.4 5 36 0.7 3.7
"295" 1704 13.2 1.3 9.9 5 36 0.7 3.6
"296" 1704 13.2 1.4 9.8 4 36 0.6 2.6
"297" 1704 13.2 2.2 13.2 6 36 0.9 4.7
"298" 1704 13.2 1 8.7 5 36 0.4 2.3
"299" 1704 13.2 2.2 12.7 5 36 0.5 3
"300" 1704 13.2 1.7 9.8 6 36 0.6 4.1
"301" 1704 13.2 1.9 10 6 36 0.9 3.9
"302" 1704 13.2 2.4 12.1 7 36 0.8 3.4
"303" 1704 13.2 2.5 11.7 7 36 0.7 4.4
"304" 1704 13.2 2.2 11.8 8 36 1 4.7
"305" 1704 13.2 2 12 7 36 0.8 4.1
"306" 1704 13.2 0.8 6.5 7 36 0.5 3.5
"307" 1704 13.2 0.9 7.5 7 34.1 0.9 3.7
"308" 1704 13.2 2.7 13.7 8 34.1 1.1 5.6
"309" 1704 13.2 2.5 11.6 8 34.1 1.3 4.4
"310" 1704 13.2 1.4 7.9 7 34.1 0.7 3.6
"311" 1704 13.2 1.9 10.3 7 34.1 0.9 3.9
"312" 1704 13.2 1.9 10.8 6 34.1 0.7 3.3
"313" 1704 13.2 2 12.7 6 34.1 1 4.8
"314" 1704 13.2 2.6 13.5 6 34.1 0.9 3.5
"315" 1704 13.2 3.1 13.8 7 34.1 0.9 4.1
"316" 1704 13.2 1.2 9.1 5 34.1 0.3 2.8
"317" 1704 13.2 2 11.7 6 34.1 1 4.8
"318" 1704 13.2 1.9 9.8 7 34.1 0.7 4
"319" 1704 13.2 2 10.7 6 34.1 0.9 4
"320" 1704 13.2 1.6 10.2 5 34.1 0.4 2.9
"321" 1704 13.2 2.5 15.2 6 34.1 1 3.1
"322" 1704 13.2 3.9 17.5 7 34.1 1.5 4.7
"323" 1704 13.2 2.6 13.8 6 34.1 0.7 3.3
"324" 1704 13.2 1.8 10.6 7 34.1 0.6 3.2
"325" 1704 13.2 3.2 15.9 7 34.1 0.8 4.4
"326" 1704 13.2 2.9 11.7 9 34.1 1.3 4.6
"327" 1704 13.2 2 11.2 8 34.1 1 5
"328" 1704 13.2 3.2 15.1 7 34.1 0.9 5.8
"329" 1704 13.2 2.3 10.7 8 34.1 1.4 5.9
"330" 1704 13.2 3 14 7 34.1 1.1 6.7
"331" 1704 13.2 2.3 12.4 8 34.1 1 2.5
"332" 1704 13.2 3.1 13.9 7 34.1 1.1 4.7
"333" 1704 13.2 3.1 12.1 7 34.1 1.5 4.2
"334" 1704 13.2 2.7 16.2 7 34.1 1.2 4.5
"335" 1704 13.2 1.8 10.4 6 21.5 0.7 3.3
"336" 1704 13.2 2.5 13.4 5 21.5 0.9 5.4
"337" 1704 13.2 2.8 15.9 6 21.5 1.4 5.2
"338" 1704 13.2 2.7 11.6 6 21.5 0.9 4.2
"339" 1704 13.2 1.6 8.4 7 21.5 0.7 4.3
"340" 1704 13.2 2.1 11.4 7 21.5 0.7 3.8
"341" 1704 13.2 2.5 12.7 7 21.5 1.5 6.2
"342" 1704 13.2 2.6 13.9 6 21.5 1.4 4.1
"343" 1704 13.2 2.8 12.8 5 21.5 1.7 4
"344" 1704 13.2 2.5 12.7 6 21.5 1.6 3.2
"345" 1704 13.2 1.9 10.6 6 21.5 1.9 6
"346" 1704 13.2 2.4 11.9 5 21.5 1.6 4.9
"347" 1704 13.2 2 11.8 4 21.5 1 3.5
"348" 1704 13.2 1.3 9.1 6 21.5 0.9 3
"349" 1704 13.2 2 10.5 5 21.5 1.2 4.2
"350" 1704 13.2 1 7.1 5 21.5 0.6 2.8
"351" 1704 13.2 2.7 14.6 7 21.5 1.2 3.9
"352" 1704 13.2 1.4 9 7 21.5 1.3 4.5
"353" 1704 13.2 2 12.8 6 21.5 1.5 5.2
"354" 1704 13.2 3.3 14.9 7 21.5 1.8 3.7
"355" 1704 13.2 2.8 13.3 7 21.5 1.1 5.4
"356" 1704 13.2 4 15.8 6 21.5 1 4.6
"357" 1704 13.2 3.1 15.4 7 21.5 0.9 4.5
"358" 1704 13.2 2.2 11.7 5 21.5 0.5 3.6
"359" 1704 13.2 3.2 13.9 8 21.5 1.7 5
"360" 1704 13.2 2.2 12.9 7 21.5 0.8 3.2
"361" 1704 13.2 6.2 24.3 8 21.5 1.5 6.7
"362" 1704 13.2 2.7 13.2 6 21.5 1 3.2
"363" 1704 13.2 1.8 10.9 5 21.5 1 4.5
"364" 1704 13.2 3.8 16 9 14.6 1.6 6
"365" 1704 13.2 3.5 14.6 9 14.6 1.9 6.6
"366" 1704 13.2 2.3 13.8 7 14.6 1.7 4.8
"367" 1704 13.2 2.8 15.6 8 14.6 1.3 6.7
"368" 1704 13.2 2.5 12.7 6 14.6 1.7 4.2
"369" 1704 13.2 2.3 11.2 7 14.6 1.5 3.7
"370" 1704 13.2 2.6 13.8 6 14.6 1.3 2.1
"371" 1704 13.2 1.6 10 6 14.6 1 3.5
"372" 1704 13.2 2.7 15.1 6 14.6 1.3 5.3
"373" 1704 13.2 3.8 19 7 14.6 1.7 4.5
"374" 1704 13.2 4.2 18.4 7 14.6 1.5 3.4
"375" 1704 13.2 1.4 10.2 5 14.6 0.8 2.6
"376" 1704 13.2 2.3 12.4 6 14.6 1.7 4.3
"377" 1704 13.2 2.3 11.9 7 14.6 1.8 5.7
"378" 1704 13.2 1.9 10.9 7 14.6 1.8 3.1
"379" 1704 13.2 3.9 19.5 6 14.6 1.6 5
"380" 1704 13.2 2 11.4 6 14.6 1.6 4.9
"381" 1704 13.2 2.1 12.8 5 14.6 1.3 3.2
"382" 1704 13.2 1.8 10.9 5 14.6 1 3.6
"383" 1704 13.2 2.9 16.6 5 14.6 0.7 2.4
"384" 1704 13.2 5.4 20.1 7 14.6 1.7 4.7
"385" 1704 13.2 3.6 18.5 7 14.6 1.8 6.4
"386" 1704 13.2 2.8 14.1 7 14.6 1.5 3.7
"387" 1704 13.2 2.8 12.6 7 14.6 1.5 4.4
"388" 1704 13.2 2.4 11.6 7 14.6 1.2 4.7
"389" 1704 13.2 3.5 15.5 8 14.6 1.9 5.2
"390" 1704 13.2 2.3 11.1 6 14.6 1.9 5.9
"391" 1704 13.2 3 14.2 8 14.6 1.8 5.3
"392" 1704 13.2 4 13.8 8 14.6 1.7 8.2
"393" 1704 13.2 3.8 13.1 8 14.6 1.7 5.2
"394" 2543 8.6 4.5 25.4 5 122.3 0.5 6.1
"395" 2543 8.6 5.6 24.1 5 122.3 1 7
"396" 2543 8.6 3.5 21.3 4 122.3 0.2 3.6
"397" 2543 8.6 4.1 26.6 4 122.3 0.2 4.6
"398" 2543 8.6 3.7 23.8 3 122.3 0.4 4.9
"399" 2543 8.6 4.5 27.2 4 122.3 0.3 4.5
"400" 2543 8.6 5.2 28.3 5 122.3 0.7 5.2
"401" 2543 8.6 5.8 29.1 7 122.3 0.8 7.9
"402" 2543 8.6 5.5 29 6 122.3 0.5 4.7
"403" 2543 8.6 2.8 25.8 3 122.3 0.2 3.3
"404" 2543 8.6 5.7 31.6 4 122.3 0.6 4.7
"405" 2543 8.6 5.2 29.8 5 122.3 0.3 4.1
"406" 2543 8.6 5.3 30.2 6 122.3 0.8 3.4
"407" 2543 8.6 5 27 6 122.3 0.5 3.8
"408" 2543 8.6 2 12.3 4 122.3 0.2 3.6
"409" 2543 8.6 4.6 26.1 6 122.3 0.3 5.1
"410" 2543 8.6 5.5 29.2 5 122.3 0.5 4.6
"411" 2543 8.6 7 34.5 6 122.3 1.2 7.6
"412" 2543 8.6 6.1 27.8 6 122.3 0.6 5.3
"413" 2543 8.6 5.6 29.4 5 122.3 0.9 5.2
"414" 2543 8.6 4.5 26.1 5 122.3 0.6 4.9
"415" 2543 8.6 5.2 26.8 4 122.3 0.5 4.8
"416" 2543 8.6 5.7 29.3 6 122.3 0.6 4.9
"417" 2543 8.6 2.3 15.4 3 122.3 0.1 2.6
"418" 2543 8.6 2.7 23 3 122.3 0.1 3.4
"419" 2543 8.6 4.3 24.8 5 105.6 0.7 7.1
"420" 2543 8.6 6 32.8 5 105.6 1.1 6.7
"421" 2543 8.6 4.4 27.3 6 105.6 0.9 7.1
"422" 2543 8.6 5.1 25.5 6 105.6 0.9 8.8
"423" 2543 8.6 4.9 30.5 5 105.6 0.2 4.1
"424" 2543 8.6 3.4 24.7 4 105.6 0.5 7.1
"425" 2543 8.6 4.9 32.5 5 105.6 0.4 6
"426" 2543 8.6 4 24.8 6 105.6 0.5 5.5
"427" 2543 8.6 4.1 25.9 6 105.6 0.6 5
"428" 2543 8.6 3.9 26.3 5 105.6 0.2 4.4
"429" 2543 8.6 3.4 24.3 3 105.6 0.2 4.8
"430" 2543 8.6 5.4 31.5 4 105.6 0.6 4.7
"431" 2543 8.6 5.1 30.3 5 105.6 0.7 5.3
"432" 2543 8.6 4.5 27.5 4 105.6 0.5 3.5
"433" 2543 8.6 2.4 21.3 3 105.6 0.1 2.8
"434" 2543 8.6 4.4 33 4 105.6 0.6 8.3
"435" 2543 8.6 3 25.2 3 105.6 0.3 7.9
"436" 2543 8.6 3.5 27.9 4 105.6 0.5 1.6
